id;item_name;description;qty;price;discount;total
1;gold;parse;23065;2081;89833;22387
2;Bacon SMTP Pound Sterling;Savings Account Quality;15402;6070;50650;78712
3;Beauty task-force Car;Summit Balanced;91473;96608;47627;63348
4;withdrawal Electronics;Ergonomic Soft Sausages Vietnam;25625;60854;60045;43090
5;Granite infomediaries;expedite Florida;67690;24465;30836;1567
6;Handmade deposit;Security;9933;77300;35328;51015
7;Sleek;Table;8152;19144;99845;54126
8;multi-byte architect heuristic;compressing copying;80635;12483;33390;3756
9;Home Loan Account Borders AI;Wooden Synergistic contingency;26890;72432;60404;47299
10;internet solution;Mobility synthesizing Mexican Peso Mexican Unidad de Inversion (UDI);14480;46429;84660;99984
