id;tx_type;description;tx_ammount;tx_ref_no;tx_created_by;tx_created_date;tx_completed_by;tx_completed_date;status;tx_doc;tx_doc_content_type;currency;remarks
1;ADJUSTMENT;plum;44832;Keyboard Washington;Qatar Rustic Trail;2020-01-06;Unbranded navigating;2020-01-06;INITIATED;../fake-data/blob/hipster.png;image/png;INR;bypassing
2;ADJUSTMENT;Factors Rubber;55406;Awesome withdrawal systematic;copy Enhanced Factors;2020-01-06;Multi-tiered Director;2020-01-06;UNDERPROCESS;../fake-data/blob/hipster.png;image/png;INR;local area network
3;ADJUSTMENT;protocol Streets Somoni;33432;bluetooth client-driven Drive;synthesizing visionary Refined Soft Table;2020-01-06;Licensed Orchestrator online;2020-01-06;UNDERPROCESS;../fake-data/blob/hipster.png;image/png;CAD;input
4;ADJUSTMENT;Bedfordshire;22589;CFA Franc BCEAO;sticky Liaison;2020-01-06;hacking;2020-01-06;INITIATED;../fake-data/blob/hipster.png;image/png;INR;Cambridgeshire Steel
5;CREDIT;Games cyan encompassing;39874;compressing;East Caribbean Dollar Orchestrator Grocery;2020-01-06;array gold;2020-01-05;UNDERPROCESS;../fake-data/blob/hipster.png;image/png;USD;networks Toys
6;REFUND;applications B2C Supervisor;47808;SDD Burg;interface Web systems;2020-01-06;Bedfordshire;2020-01-06;UNDERPROCESS;../fake-data/blob/hipster.png;image/png;CAD;Israel Mauritius Rupee red
7;PAYMENT;Bacon Trail virtual;29095;Rustic Steel Towels Wooden;Ergonomic Fresh Sausages;2020-01-06;orange Tactics;2020-01-05;UNDERPROCESS;../fake-data/blob/hipster.png;image/png;CAD;Garden
8;ADJUSTMENT;Consultant primary;3522;Sri Lanka Rupee;withdrawal FTP;2020-01-06;Soft Associate Home Loan Account;2020-01-06;UNDERPROCESS;../fake-data/blob/hipster.png;image/png;USD;quantify Coordinator Gloves
9;ADJUSTMENT;Avon;23585;Nicaragua Auto Loan Account index;withdrawal expedite invoice;2020-01-06;methodologies lime Grocery;2020-01-06;UNDERPROCESS;../fake-data/blob/hipster.png;image/png;INR;Supervisor
10;REFUND;Shoes;78550;Lead Branding;AGP system;2020-01-06;Ergonomic internet solution radical;2020-01-06;UNDERPROCESS;../fake-data/blob/hipster.png;image/png;USD;synthesize Gorgeous content
