id;trip_number;description;shipment_number;bol;pickup;jhi_drop;pickup_location;drop_location;current_location;status;detention;chasis_in_time;pod;pod_content_type;hazmat;recieved_by;covered_by;load_type;container_size;numbers_of_container;comments
1;Architect;e-business Solutions;invoice Analyst Gorgeous;Greens Generic array;2020-01-06;2020-01-05;Universal Rhode Island Prairie;Group wireless Auto Loan Account;olive Fantastic Frozen Soap;INVOICED;76321;2020-01-06T21:39:31;../fake-data/blob/hipster.png;image/png;YES;bandwidth Practical;CompanyDriver;LTL;C43;97458;Grocery synthesizing
2;Public-key;Tools;Producer Graphic Interface Buckinghamshire;Nebraska unleash International;2020-01-06;2020-01-06;Home Loan Account;bandwidth;discrete deliver;PICKEDUP;83003;2020-01-06T18:39:14;../fake-data/blob/hipster.png;image/png;NO;tan copying;CompanyDriver;FLATBED;C43;2096;International
3;Creative Estate;circuit;systems;Credit Card Account;2020-01-06;2020-01-06;Administrator;Car microchip;Metal Games;INVOICED;37692;2020-01-06T16:48:15;../fake-data/blob/hipster.png;image/png;YES;Data program niches;OwnerOperator;REEFER;C20;61324;white
4;Palladium Distributed;monitor plug-and-play;core Drive Table;Infrastructure;2020-01-06;2020-01-06;Avon Checking Account;Hat;one-to-one Keyboard Lao People's Democratic Republic;PICKEDUP;40457;2020-01-06T18:39:14;../fake-data/blob/hipster.png;image/png;NO;Incredible Kwacha;CompanyDriver;REEFER;C43;83602;Ergonomic Steel Chicken
5;Open-architected Balanced;Generic Clothing Lead;microchip Dynamic;deposit Estonia Marshall Islands;2020-01-06;2020-01-06;quantifying;Program;PNG Corporate;INVOICED;78535;2020-01-06T11:05:02;../fake-data/blob/hipster.png;image/png;NO;circuit Samoa application;OwnerOperator;FLATBED;C43;10121;Tools Shoes invoice
6;port Strategist multi-byte;Research Jewelery;Programmable protocol Yemeni Rial;plug-and-play Product Movies;2020-01-06;2020-01-06;Manager bandwidth-monitored Saint Lucia;hacking;Mountains;PICKEDUP;9390;2020-01-06T12:12:12;../fake-data/blob/hipster.png;image/png;YES;Accountability Gardens;OwnerOperator;REEFER;C43;84433;connect
7;schemas;primary Handcrafted SCSI;Tasty Plastic Shirt Response;Oval Fresh;2020-01-06;2020-01-05;Concrete International;Car;front-end bluetooth;DELIVERED;200;2020-01-06T06:14:54;../fake-data/blob/hipster.png;image/png;YES;mobile;OwnerOperator;FLATBED;C53;41700;Latvian Lats Extended deposit
8;interfaces;SAS website;SCSI Handcrafted;SQL cross-media withdrawal;2020-01-06;2020-01-06;methodologies Metrics;parse;Accountability;ONROAD;62138;2020-01-06T14:31:22;../fake-data/blob/hipster.png;image/png;NO;optical;CompanyDriver;LTL;C20;19;EXE haptic hacking
9;systems Re-contextualized implement;Auto Loan Account Handcrafted Soft Bacon;District;Clothing;2020-01-06;2020-01-06;invoice Avon;programming e-business;Chair;DELIVERED;13770;2020-01-06T06:05:12;../fake-data/blob/hipster.png;image/png;NO;Designer Credit Card Account Virginia;CompanyDriver;REEFER;C43;19164;Home Loan Account
10;Savings Account infomediaries;evolve Frozen;calculate salmon;primary;2020-01-06;2020-01-06;Table withdrawal;embrace;Bedfordshire Money Market Account;PICKEDUP;34805;2020-01-06T17:56:07;../fake-data/blob/hipster.png;image/png;NO;COM;OwnerOperator;FLATBED;C53;61446;Rubber
