id;active;company;address;street_address;city;state_province;country;postal_code;email;website;phone_number;dot;mc;company_logo;company_logo_content_type;profile_status;preffred_currency
1;true;index;Shoes Intelligent Plastic Mouse;Avon iterate;South Aurorefurt;emulation;USA;Direct;Mervin95@gmail.com;Corporate human-resource deliverables;54930;Azerbaijanian Manat;36907;../fake-data/blob/hipster.png;image/png;ACTIVE;USD
2;true;Washington;Hat;Berkshire Nepalese Rupee Gorgeous;Padbergland;District red interface;MEXICO;GB;Rory.Jones59@hotmail.com;Jordanian Dinar reintermediate Sausages;26202;Money Market Account enhance ADP;79959;../fake-data/blob/hipster.png;image/png;INACTIVE;INR
3;false;Unbranded Fresh Fish Analyst Savings Account;Rufiyaa;Steel California;O'Keefehaven;Nepalese Rupee pixel transmitting;USA;Gorgeous Metal Bike;Benjamin.Turner@gmail.com;deposit Rubber;54224;Burgs value-added;78559;../fake-data/blob/hipster.png;image/png;INACTIVE;CAD
4;true;evolve vertical Hat;Refined Plastic open-source;Small Reunion human-resource;Wisozkville;CFA Franc BEAC Bedfordshire;CANADA;Personal Loan Account solid state;Monroe.OConner@gmail.com;panel PCI cross-platform;2203;Multi-lateral;72326;../fake-data/blob/hipster.png;image/png;INACTIVE;INR
5;false;online;TCP Minnesota;back-end;East Westleyview;SMTP Automotive;USA;Supervisor Course;Jamie99@gmail.com;one-to-one synthesize transmitter;85040;lavender Place;87111;../fake-data/blob/hipster.png;image/png;ACTIVE;CAD
6;false;Loaf ivory;deliver array optical;Refined Soft Bacon;New Natalie;Saint Pierre and Miquelon Tasty Research;MEXICO;Handcrafted viral Borders;Clemens.Torphy13@hotmail.com;Soft Home Loan Account system;83307;Fish Knolls Louisiana;32799;../fake-data/blob/hipster.png;image/png;INACTIVE;INR
7;true;Sri Lanka Rupee;sensor Tuna;Total Solomon Islands Dollar Games;Kautzermouth;fuchsia Licensed;USA;silver;Gaetano.Kihn1@gmail.com;Tools;93817;interfaces Refined Soft Fish;93830;../fake-data/blob/hipster.png;image/png;INACTIVE;CAD
8;true;Denar;Enterprise-wide Clothing;mission-critical Savings Account Bacon;Johnsborough;Usability Creative program;CANADA;brand Money Market Account proactive;Augustine_Glover@yahoo.com;expedite recontextualize;61994;payment;41702;../fake-data/blob/hipster.png;image/png;ACTIVE;CAD
9;false;Gourde US Dollar;lime Personal Loan Account;firewall;Predovicberg;scalable;CANADA;Avenue proactive;Adolph35@hotmail.com;Senior Visionary;3345;digital synergies;21053;../fake-data/blob/hipster.png;image/png;ACTIVE;INR
10;false;generating;real-time Latvian Lats Berkshire;Shoes;West Jeramytown;New Zealand Dollar;USA;best-of-breed;Rebeka93@gmail.com;Moldovan Leu networks;64399;Usability;4063;../fake-data/blob/hipster.png;image/png;INACTIVE;USD
